Datetime (UTC),Arizona Public Service Company (gCO₂eq/kWh),CAISO (gCO₂eq/kWh),Electric Reliability Council of Texas (gCO₂eq/kWh),ISO New England (gCO₂eq/kWh),Los Angeles Department of Water and Power (gCO₂eq/kWh),Louisville Gas and Electric Company and Kentucky Utilities (gCO₂eq/kWh),Midcontinent ISO (gCO₂eq/kWh),Nevada Power Company (gCO₂eq/kWh),New York ISO (gCO₂eq/kWh),Pacificorp East (gCO₂eq/kWh),Portland General Electric Company (gCO₂eq/kWh),Southeastern Power Administration (gCO₂eq/kWh)
2024-03-24 00:00:00,246.94,95.16,302.52,273.49,197.56,892.06,495.15,393.76,326.32,498.55,145.74,97.19
2024-03-24 01:00:00,318.57,132.08,286.23,263.57,248.5,878.89,501.26,460.18,319.38,574.83,177.6,85.17
2024-03-24 02:00:00,356.64,160.97,256.11,255.23,284.14,874.36,501.03,479.25,314.13,621.04,186.52,184.91
2024-03-24 03:00:00,378.18,165.5,238.41,246.25,283.36,873.06,488.26,476.07,318.81,655.18,180.57,474.63
2024-03-24 04:00:00,375.81,163.67,214.55,247.35,282.7,855.5,479.69,481.8,321.69,654.19,186.85,491.43
2024-03-24 05:00:00,368.8,158.32,196.42,252.59,256.17,843.65,470.63,476.12,327.5,631.78,196.2,435.04
2024-03-24 06:00:00,366.14,163.99,181.81,252.77,264.63,844.38,455.56,476.21,328.7,622.04,202.35,430.28
2024-03-24 07:00:00,361.1,170.01,175.38,249.09,292.41,832.03,442.68,480.12,314.93,607.88,211.99,434.68
2024-03-24 08:00:00,362.95,170.88,176.6,249.45,299.6,826.9,443.51,488.07,315.18,599.13,216.39,433.32
2024-03-24 09:00:00,367.67,168.75,177.28,244.6,310.24,849.48,429.69,498.54,318.87,615.3,216.33,347.36
2024-03-24 10:00:00,364.08,168.59,175.96,240.87,310.88,830.35,420.04,497.26,312.86,585.32,216.49,24.0
2024-03-24 11:00:00,355.29,159.66,176.07,245.98,361.39,848.74,418.6,503.15,309.12,600.81,186.98,28.46
2024-03-24 12:00:00,360.87,157.19,180.5,243.94,361.09,831.38,427.01,504.18,317.01,622.57,196.23,25.35
2024-03-24 13:00:00,360.08,152.35,174.75,245.19,328.14,831.5,412.87,485.1,316.42,615.76,145.33,24.0
2024-03-24 14:00:00,329.59,136.17,162.53,246.0,326.3,823.6,392.98,447.97,307.69,541.7,147.1,24.0
2024-03-24 15:00:00,252.48,94.27,161.6,241.76,292.28,811.93,380.0,399.12,305.46,446.03,140.79,24.0
2024-03-24 16:00:00,206.7,74.42,157.55,229.33,236.95,810.48,363.92,324.43,297.99,426.03,140.39,26.7
2024-03-24 17:00:00,175.45,70.52,152.47,215.19,214.56,817.09,355.52,277.86,289.5,421.47,133.49,141.92
2024-03-24 18:00:00,168.15,71.36,146.22,213.62,226.64,806.1,348.01,288.85,283.73,437.82,135.23,148.23
2024-03-24 19:00:00,162.63,74.22,149.32,223.58,199.49,807.76,346.37,300.5,282.37,415.61,133.7,146.81
2024-03-24 20:00:00,167.4,71.16,160.75,224.5,201.11,801.61,349.84,326.9,289.4,393.77,135.27,135.36
2024-03-24 21:00:00,174.39,71.03,180.57,257.41,207.16,798.82,361.22,338.2,304.48,389.76,137.32,178.68
2024-03-24 22:00:00,209.21,79.25,197.31,258.53,231.23,813.88,375.34,342.13,316.49,404.94,141.76,185.38
2024-03-24 23:00:00,236.48,82.27,217.67,255.39,233.57,823.85,390.84,331.63,319.22,432.05,137.0,203.67
