iso,min,max,mean,median,std,count
CAISO,-22.22806,54.84541,22.35248798611111,29.648785,16.56061469898513,576
ERCOT,0.0,385.71,34.80922743055556,25.77,36.919901994339895,576
ILLINOIS,10.28,173.24,31.522582897033157,27.01,16.877532701796092,573
ISONE,31.28,140.97,52.798973913043476,44.85,19.521978273343436,575
LOUISIANA,17.79,192.19,32.29729493891797,29.11,12.820847745005834,573
NJ,20.04,368.72,43.53779513888889,31.46,33.36417600543189,576
NYISO,25.07,287.62,54.8034375,44.3,29.189201213246516,576
O,-5.16,305.68,42.69177391304348,33.17,29.139412705233756,575
PJM,21.48,352.81,42.28499130434783,31.08,32.221375146518454,575
SPP,-5.9753,487.6434,36.32820451388889,27.3153,45.10314530930011,576
