iso,location,time_points,min_time,max_time,min_lmp,max_lmp,avg_lmp,expected_points,completeness_pct
CAISO,TH_NP15_GEN-APND,576,2025-03-24 07:00:00+00:00,2025-03-26 06:55:00+00:00,-22.22806,54.84541,22.35248798611111,576.0,100.0
ERCOT,HB_HOUSTON,576,2025-03-24 05:00:00+00:00,2025-03-26 04:55:00+00:00,0.0,385.71,34.80922743055556,576.0,100.0
ILLINOIS,ILLINOIS.HUB,573,2025-03-24 05:00:00+00:00,2025-03-26 04:55:00+00:00,10.28,173.24,31.522582897033157,576.0,99.47916666666666
ISONE,.H.INTERNAL_HUB,575,2025-03-24 04:00:00+00:00,2025-03-26 03:55:00+00:00,31.28,140.97,52.798973913043476,576.0,99.82638888888889
LOUISIANA,LOUISIANA.HUB,573,2025-03-24 05:00:00+00:00,2025-03-26 04:55:00+00:00,17.79,192.19,32.29729493891797,576.0,99.47916666666666
NJ,NEW JERSEY HUB,575,2025-03-24 04:00:00+00:00,2025-03-26 03:55:00+00:00,20.04,368.72,43.56939130434783,576.0,99.82638888888889
NJ,NJ_DEFAULT,1,2025-03-25 19:55:00+00:00,2025-03-25 19:55:00+00:00,25.37,25.37,25.37,1.0,100.0
NYISO,CAPITL,576,2025-03-24 04:00:00+00:00,2025-03-26 03:55:00+00:00,25.07,287.62,54.8034375,576.0,100.0
O,OHIO HUB,575,2025-03-24 04:00:00+00:00,2025-03-26 03:55:00+00:00,-5.16,305.68,42.69177391304348,576.0,99.82638888888889
PJM,AECO,575,2025-03-24 04:00:00+00:00,2025-03-26 03:55:00+00:00,21.48,352.81,42.28499130434783,576.0,99.82638888888889
SPP,SPPSOUTH_HUB,576,2025-03-24 05:00:00+00:00,2025-03-26 04:55:00+00:00,-5.9753,487.6434,36.32820451388889,576.0,100.0
