Average_delay,Minimum_delay,Maximum_delay,Medium_dev,Timestamp
60.617,60.436,61.179,0.142,2025-03-24 00:27:03
60.658,60.518,61.030,0.116,2025-03-24 01:27:02
60.828,60.522,61.767,0.320,2025-03-24 02:27:03
60.664,60.510,61.349,0.157,2025-03-24 03:27:07
60.656,60.533,61.101,0.108,2025-03-24 04:27:03
60.636,60.535,60.834,0.069,2025-03-24 05:27:03
60.594,60.496,60.755,0.067,2025-03-24 06:27:03
60.606,60.485,60.770,0.046,2025-03-24 07:27:04
60.670,60.499,61.392,0.177,2025-03-24 08:27:03
60.634,60.525,61.169,0.128,2025-03-24 09:27:05
60.595,60.468,60.878,0.073,2025-03-24 10:27:02
60.631,60.523,61.207,0.126,2025-03-24 11:27:03
60.614,60.436,60.909,0.094,2025-03-24 12:27:02
60.599,60.468,61.105,0.163,2025-03-24 13:27:04
60.634,60.511,60.974,0.092,2025-03-24 14:27:02
60.608,60.461,60.963,0.100,2025-03-24 15:27:02
60.632,60.520,60.953,0.089,2025-03-24 16:27:01
60.644,60.448,61.658,0.210,2025-03-24 17:27:04
60.647,60.488,61.167,0.161,2025-03-24 18:27:04
60.747,60.531,61.710,0.267,2025-03-24 19:27:03
61.155,60.529,65.419,1.125,2025-03-24 20:27:03
60.832,60.690,61.314,0.110,2025-03-24 21:27:01
60.620,60.506,60.921,0.101,2025-03-24 22:27:02
60.683,60.502,61.380,0.225,2025-03-24 23:27:08
60.742,60.538,61.406,0.242,2025-03-25 00:27:03
60.803,60.495,63.403,0.516,2025-03-25 01:27:03
60.718,60.514,61.501,0.208,2025-03-25 02:27:07
60.710,60.521,61.527,0.213,2025-03-25 03:27:01
60.645,60.538,60.861,0.070,2025-03-25 04:27:02
60.631,60.520,61.085,0.107,2025-03-25 05:27:07
60.653,60.543,60.826,0.070,2025-03-25 06:27:03
60.638,60.489,61.623,0.195,2025-03-25 07:27:03
60.603,60.517,60.922,0.078,2025-03-25 08:27:03
60.608,60.505,60.899,0.078,2025-03-25 09:27:01
60.659,60.543,60.824,0.069,2025-03-25 10:27:06
60.649,60.520,60.950,0.087,2025-03-25 11:27:07
60.678,60.523,61.639,0.204,2025-03-25 12:27:04
60.643,60.527,61.033,0.090,2025-03-25 13:27:02
60.722,60.581,60.967,0.113,2025-03-25 14:27:04
60.681,60.527,61.155,0.129,2025-03-25 15:27:03
60.634,60.512,60.884,0.091,2025-03-25 16:27:04
60.595,60.464,61.037,0.103,2025-03-25 17:27:02
60.703,60.500,61.409,0.151,2025-03-25 18:27:03
60.821,60.695,61.276,0.117,2025-03-25 19:27:02
60.657,60.496,61.366,0.192,2025-03-25 20:27:04
60.917,60.721,61.599,0.180,2025-03-25 21:27:03
60.736,60.462,61.720,0.229,2025-03-25 22:27:02
60.871,60.698,61.776,0.244,2025-03-25 23:27:06
